region,year ,value
Northern America,2005,98.90526279
Northern America,2006,98.12293936
Northern America,2007,99.3528068
Northern America,2008,96.62156739
Northern America,2009,99.79931769
Northern America,2010,100.1693765
Northern America,2011,98.55903779
Northern America,2012,98.05002136
Northern America,2013,98.69674682
Northern America,2014,98.89636795
Northern America,2015,100
Northern America,2016,99.89057389
Northern America,2017,100.1427054
Northern America,2018,100.6420207
Northern America,2019,100.632837
Northern America,2020,99.29649412
Northern America,2021,106.3896094
Latin America and the Caribbean,2005,96.35356634
Latin America and the Caribbean,2006,104.0334047
Latin America and the Caribbean,2007,106.7476448
Latin America and the Caribbean,2008,110.7567337
Latin America and the Caribbean,2009,102.8047197
Latin America and the Caribbean,2010,114.7873787
Latin America and the Caribbean,2011,123.9547832
Latin America and the Caribbean,2012,120.1219732
Latin America and the Caribbean,2013,117.6093699
Latin America and the Caribbean,2014,113.3328619
Latin America and the Caribbean,2015,100
Latin America and the Caribbean,2016,97.77797885
Latin America and the Caribbean,2017,102.8517622
Latin America and the Caribbean,2018,104.6762702
Latin America and the Caribbean,2019,104.4065563
Latin America and the Caribbean,2020,103.525295
Latin America and the Caribbean,2021,110.6407209
Europe,2005,98.09697501
Europe,2006,97.72142039
Europe,2007,98.23947229
Europe,2008,98.11900383
Europe,2009,98.81635571
Europe,2010,98.68420162
Europe,2011,98.66328942
Europe,2012,97.70060486
Europe,2013,99.79759861
Europe,2014,99.71456495
Europe,2015,100
Europe,2016,99.37571393
Europe,2017,99.23117201
Europe,2018,99.8536059
Europe,2019,99.66917534
Europe,2020,99.35963309
Europe,2021,100.975731
Africa,2005,87.76229162
Africa,2006,98.07131301
Africa,2007,99.08430066
Africa,2008,119.6146333
Africa,2009,93.87393701
Africa,2010,110.000163
Africa,2011,124.3205816
Africa,2012,130.4146091
Africa,2013,128.1697613
Africa,2014,125.691718
Africa,2015,100
Africa,2016,89.492361
Africa,2017,97.46906823
Africa,2018,106.3453653
Africa,2019,102.3149484
Africa,2020,95.2261585
Africa,2021,116.4810544
Asia,2005,100.465192
Asia,2006,99.31231816
Asia,2007,97.8556356
Asia,2008,96.34298957
Asia,2009,97.93317376
Asia,2010,95.29829865
Asia,2011,94.43852128
Asia,2012,94.81336755
Asia,2013,95.43096236
Asia,2014,96.01124183
Asia,2015,100
Asia,2016,99.84839155
Asia,2017,98.8158451
Asia,2018,98.26448581
Asia,2019,98.08708194
Asia,2020,100.0441725
Asia,2021,99.47705813
Oceania,2005,86.51388027
Oceania,2006,95.06152046
Oceania,2007,99.88598663
Oceania,2008,112.6438485
Oceania,2009,105.0482733
Oceania,2010,115.6545882
Oceania,2011,128.4081334
Oceania,2012,117.1309365
Oceania,2013,115.4821715
Oceania,2014,110.1121361
Oceania,2015,100
Oceania,2016,99.93092834
Oceania,2017,114.9210914
Oceania,2018,116.6362382
Oceania,2019,125.9396495
Oceania,2020,127.4128981
Oceania,2021,157.1012986
